,ref_id,breed_id,type,website,created_at,updated_at,city,state,bwh,club,parent_club,specialty_club,licensed_club,bloodline,small_size,medium_size,large_size,breed_options,males,females,expected_date,birth,age,breed
58,5201,194,coming-soon,/breeder/michelle-nelson-36054/poodle/coming-soon,2016-08-05 21:07:22,2021-04-12 14:52:01,Sumner,WA,1,,0,1,1,0,1,0,1,miniature,0,0,2021-04-30,,,poodle
59,27554,265,storefront,/breeder/AstarteBarbets?source_breed=bichon-frise,2015-12-17 18:49:48,2021-03-17 14:31:24,Greenbank,WA,1,,0,1,0,0,1,0,0,,0,0,,,,bichon-frise
60,257374,202,listing,/breeder/shelley-richfield-70964/pug/257374,2021-03-19 18:09:07,2021-03-19 18:43:44,Kenmore,WA,,,0,1,0,1,1,0,0,,1,3,,2020-12-25,15 weeks old,pug
61,26438,260,storefront,/breeder/englishbulldogswa?source_breed=yorkshire-terrier,2015-11-13 22:03:22,2021-04-10 16:46:37,Kirkland,WA,,,0,1,1,0,1,0,0,,0,0,,,,yorkshire-terrier
62,6034,113,coming-soon,/breeder/englishbulldogswa/french-bulldog/coming-soon,2015-11-13 22:03:22,2021-04-10 16:46:37,Kirkland,WA,,,0,1,1,0,1,0,0,,0,0,2021-05-20,,,french-bulldog
63,255391,70,listing,/breeder/danita-nickles-27088/chinese-crested/255391,2021-03-02 12:03:14,2021-03-23 09:38:54,Seattle,WA,,,0,1,0,1,1,0,0,,2,1,,2020-11-27,4 months old,chinese-crested
64,27088,160,storefront,/breeder/danita-nickles-27088?source_breed=maltese,2015-12-01 17:47:30,2021-04-06 12:46:07,Seattle,WA,,,0,1,0,0,1,0,0,,0,0,,,,maltese
65,27088,194,storefront,/breeder/danita-nickles-27088?source_breed=poodle,2015-12-01 17:47:30,2021-04-06 12:46:07,Seattle,WA,,,0,1,0,0,1,0,1,,0,0,,,,poodle
66,32635,132,storefront,/breeder/flaminggeysershavanese2com?source_breed=havanese,2016-05-03 12:28:57,2020-09-07 15:36:25,Maple Valley,WA,,,0,1,0,0,1,0,0,,0,0,,,,havanese
67,30702,132,storefront,/breeder/thistledownhavanese?source_breed=havanese,2016-03-05 18:47:27,2019-10-15 22:07:39,Seattle,WA,,,0,1,0,0,1,0,0,,0,0,,,,havanese
68,255612,69,listing,/breeder/yingchuu-chihuahua/chihuahua/255612,2021-03-04 05:37:37,2021-04-12 23:32:00,Auburn,WA,,,0,1,0,1,1,0,0,,0,1,,2021-01-09,13 weeks old,chihuahua
69,251737,153,listing,/breeder/stoutslabs/labrador-retriever/251737,2021-01-28 11:24:42,2021-02-01 11:21:35,Silvana,WA,,,0,1,0,0,0,1,0,yellow,8,4,,2021-01-07,14 weeks old,labrador-retriever
70,71892,202,storefront,/breeder/carla-carson-71892?source_breed=pug,2019-01-02 10:06:38,2020-07-10 11:43:36,Tacoma,WA,,,0,1,0,0,1,0,0,,0,0,,,,pug
71,28292,57,storefront,/breeder/skymeadow-farm-kennel?source_breed=bulldog,2016-01-04 22:04:59,2020-11-05 15:59:12,Freeland,WA,,,0,1,0,0,0,1,0,,0,0,,,,bulldog
72,28292,113,storefront,/breeder/skymeadow-farm-kennel?source_breed=french-bulldog,2016-01-04 22:04:59,2020-11-05 15:59:12,Freeland,WA,,,0,1,0,0,1,0,0,,0,0,,,,french-bulldog
73,12438,153,coming-soon,/breeder/wilsonfarms-labradors/labrador-retriever/coming-soon,2021-02-16 15:32:28,2021-02-21 15:10:51,Arlington,WA,,,0,1,0,0,0,1,0,"black,chocolate",0,0,2021-04-13,,,labrador-retriever
74,8661,260,coming-soon,/breeder/jan-rannow-58031/yorkshire-terrier/coming-soon,2018-02-08 14:23:31,2021-04-11 20:46:03,Auburn,WA,,,0,0,1,0,1,0,0,,0,0,2021-05-01,,,yorkshire-terrier
75,36281,117,storefront,/breeder/Monica?source_breed=german-shepherd-dog,2016-08-12 16:20:11,2019-10-21 16:49:40,Redmond,WA,,,0,0,0,0,0,0,1,,0,0,,,,german-shepherd-dog
76,254981,262,listing,/breeder/spincityspinoni/spinone-italiano/254981,2021-02-26 15:22:26,2021-03-17 10:01:08,Woodinville,WA,,,0,0,0,1,0,0,1,,2,6,,2021-02-05,9 weeks old,spinone-italiano
77,257446,113,listing,/breeder/jannat-royal-39871/french-bulldog/257446,2021-03-20 13:57:39,2021-03-20 15:42:56,Bellevue,WA,,,0,0,0,1,1,0,0,,3,1,,2021-02-27,6 weeks old,french-bulldog
78,39395,153,storefront,/breeder/alice-woo-39395?source_breed=labrador-retriever,2016-11-09 12:30:39,2021-04-09 21:43:37,Bellevue,WA,,,0,0,0,0,0,1,0,,0,0,,,,labrador-retriever
79,39871,260,storefront,/breeder/jannat-royal-39871?source_breed=yorkshire-terrier,2016-11-22 04:52:24,2021-03-18 02:15:30,Bellevue,WA,,,0,0,0,0,1,0,0,,0,0,,,,yorkshire-terrier
80,6774,113,coming-soon,/breeder/alice-woo-39395/french-bulldog/coming-soon,2016-11-09 12:30:39,2021-04-09 21:43:37,Bellevue,WA,,,0,0,0,0,1,0,0,,0,0,2021-04-12,,,french-bulldog
81,79229,202,storefront,/breeder/pugsincolor-79229?source_breed=pug,2019-06-21 17:31:59,2020-08-07 14:54:06,Kirkland,WA,,,0,0,0,0,1,0,0,,0,0,,,,pug
82,8431,113,coming-soon,/breeder/cheri-osborn-49815/french-bulldog/coming-soon,2017-07-24 13:27:37,2021-03-07 18:19:23,Issaquah,WA,,,0,0,0,0,1,0,0,,0,0,2021-05-07,,,french-bulldog
83,242520,260,listing,/breeder/susan-murray-37938/yorkshire-terrier/242520,2020-11-05 02:49:25,2021-04-13 10:58:34,Renton,WA,,,0,0,0,0,1,0,0,,0,1,,2020-09-13,7 months old,yorkshire-terrier
84,81729,168,storefront,/breeder/sputnik-schnauzers?source_breed=miniature-schnauzer,2019-08-06 12:36:46,2020-06-02 22:27:00,Renton,WA,,,0,0,0,0,1,0,0,,0,0,,,,miniature-schnauzer
85,59739,65,storefront,/breeder/wyndham-of-petworth-cavalier-king?source_breed=cavalier-king-charles-spaniel,2018-03-25 12:01:26,2021-04-03 00:50:01,Mercer Island,WA,,,0,0,0,0,1,0,0,,0,0,,,,cavalier-king-charles-spaniel
86,252040,209,listing,/breeder/jacqueline-doulis-102568/rottweiler/252040,2021-01-30 23:45:40,2021-01-31 00:06:20,Fall City,WA,,,0,0,0,0,0,0,1,,4,4,,2020-11-23,4 months old,rottweiler
87,68894,65,storefront,/breeder/christy-downing-68894?source_breed=cavalier-king-charles-spaniel,2018-10-24 15:54:42,2021-01-04 12:02:57,Fall City,WA,,,0,0,0,0,1,0,0,,0,0,,,,cavalier-king-charles-spaniel
88,250375,113,listing,/breeder/tuong-tran-102008/french-bulldog/250375,2021-01-16 01:07:39,2021-01-16 01:33:39,Renton,WA,,,0,0,0,0,1,0,0,,1,0,,2020-11-12,5 months old,french-bulldog
89,12936,117,coming-soon,/breeder/lexikennels/german-shepherd-dog/coming-soon,2019-12-12 08:24:34,2021-03-21 23:57:39,Federal Way,WA,,,0,0,0,0,0,0,1,,0,0,2021-04-12,,,german-shepherd-dog
90,58857,113,storefront,/breeder/wissam-moghrabi-58857?source_breed=french-bulldog,2018-03-01 00:23:03,2021-01-19 17:50:04,Seattle,WA,,,0,0,0,0,1,0,0,,0,0,,,,french-bulldog
91,60686,168,storefront,/breeder/susan-dabreu-60686?source_breed=miniature-schnauzer,2018-04-19 13:52:48,2021-02-11 16:37:17,Monroe,WA,,,0,0,0,0,1,0,0,,0,0,,,,miniature-schnauzer
92,250453,260,listing,/breeder/tamara-self-43767/yorkshire-terrier/250453,2021-01-17 00:22:13,2021-02-12 22:26:51,Mountlake Terrace,WA,,,0,0,0,0,1,0,0,,1,2,,2020-12-19,4 months old,yorkshire-terrier
93,259839,48,listing,/breeder/dionne-dunkel-56625/boxer/259839,2021-04-11 15:01:47,2021-04-15 08:59:35,Maple Valley,WA,,,0,0,0,0,0,1,0,,3,0,,2021-04-10,5 days old,boxer
94,7817,48,coming-soon,/breeder/dionne-dunkel-56625/boxer/coming-soon,2018-01-07 00:00:39,2021-03-30 12:20:17,Maple Valley,WA,,,0,0,0,0,0,1,0,,0,0,2021-04-12,,,boxer
95,99262,160,storefront,/breeder/morkiesnmore?source_breed=maltese,2020-10-26 22:35:38,2020-12-30 23:11:40,Maple Valley,WA,,,0,0,0,0,1,0,0,,0,0,,,,maltese
96,99262,260,storefront,/breeder/morkiesnmore?source_breed=yorkshire-terrier,2020-10-26 22:35:38,2020-12-30 23:11:40,Maple Valley,WA,,,0,0,0,0,1,0,0,,0,0,,,,yorkshire-terrier
